Name	Team	Pos	SH	SG	G	A	OF	SV
Ravenhill, Richard	Northampton Town	M	4	0	0	1	0	0
Redman, Ellis	Newport County	D	0	0	0	0	0	0
Richardson, Barry	Wycombe Wanderers	G	0	0	0	0	0	0
Rutherford, Greg	Hartlepool United	M	0	0	0	0	0	0
Ryan, James	Chesterfield	M	46	15	2	4	0	0
Rose, Daniel	Oxford United	M	30	12	4	4	0	0
Ruffles, Josh	Oxford United	M	19	6	1	0	0	0
Roberts, James	Oxford United	F	0	0	0	0	0	0
Redshaw, Jack	Morecambe	F	36	20	8	2	18	0
Sarcevic, Antoni	Fleetwood Town	M	84	41	13	5	8	0
Schumacher, Steven	Fleetwood Town	M	31	10	5	2	1	1
Smith, Ted	Southend United 	G	0	0	0	0	0	0
Sokolik, Jakub	Southend United 	M	2	0	0	0	2	0
Sharps, Ian	Burton Albion	D	22	11	1	1	1	0
Slade, Liam	Burton Albion	D	0	0	0	0	0	0
Shama, Josh	Oxford United	M	0	0	0	0	0	0
Smalley, Deane	Oxford United	F	26	10	7	1	17	1
Seabright, Jordan	Dagenham & Redbridge	G	0	0	0	0	0	5
Saah, Brian	Dagenham & Redbridge	D	10	4	0	1	2	0
Silva, Toni	Dagenham & Redbridge	M	0	0	0	0	0	0
Saunders, Matthew	Dagenham & Redbridge	M	0	0	0	0	0	0
Samuel, Dominic	Dagenham & Redbridge	F	0	0	0	0	0	0
Shields, Sean	Dagenham & Redbridge	F	1	0	0	0	2	0
Sparrow, Matthew	Scunthorpe United	M	12	5	3	1	1	0
Showunmi, Enoch	Torquay United	F	8	0	0	0	5	0
Speight, Jake	Mansfield Town	F	6	5	1	0	5	0
Sedgwick, Chris	Bury	M	11	5	2	6	2	0
Soares, Tom	Bury	M	40	16	6	1	9	0
Smith, Phil	Portsmouth	G	0	0	0	1	0	0
Shorey, Nicky	Portsmouth	D	3	1	0	0	0	0
Stephenson, Jamie	Newport County	M	0	0	0	0	0	0
Sandell, Andrew	Newport County	F	23	8	3	0	0	1
Slocombe, Sam	Scunthorpe United	G	0	0	0	0	0	48
Sercombe, Liam	Exeter City	M	68	26	5	1	3	0
Smith, Paul	Southend United 	G	0	0	0	0	0	0
Short, James	Morecambe	D	0	0	0	0	0	0
Sampson, Jack	Morecambe	F	56	23	5	3	23	0
Straker, Anthony	Southend United 	D	23	9	2	1	5	0
Smith, Connor	Hartlepool United	M	0	0	0	0	0	0
Syers, Dave	Scunthorpe United	M	67	29	10	1	5	0
Spicer, John	Southend United 	M	0	0	0	0	0	0
Strutton, Charlie	AFC Wimbledon	D	2	2	0	0	1	0
Sweeney, Daniel	AFC Wimbledon	D	0	0	0	0	0	0
Sturrock, Blair	Southend United 	F	0	0	0	0	0	0
Sainte-Luce, Kevin	AFC Wimbledon	M	5	3	1	1	5	0
Sweeney, Peter	AFC Wimbledon	M	9	3	0	1	1	0
Scully, Josh	Chesterfield	M	0	0	0	0	0	0
Smith, Nathan	Chesterfield	M	4	0	0	0	1	0
Snedker, Dean	Northampton Town	G	0	0	0	0	0	0
Siddiqi, Kashif	Northampton Town	D	0	0	0	0	0	0
Sinclair, Emile	Northampton Town	F	24	5	2	1	15	0
Stewart, Anthony	Wycombe Wanderers	D	19	8	3	0	0	0
Scowen, Josh	Wycombe Wanderers	M	23	6	1	4	3	0
Spring, Matthew	Wycombe Wanderers	M	6	3	0	0	0	0
Svard, Sebastian	Wycombe Wanderers	M	0	0	0	0	0	0
Symes, Michael	Burton Albion	F	15	3	2	0	8	0
Styche, Reece	Wycombe Wanderers	F	7	3	0	0	7	0
Southway, Josh	Bristol Rovers	D	0	0	0	0	0	0
Santos, Alfie	Bristol Rovers	M	6	3	1	1	1	0
Smith, Michael	Bristol Rovers	F	22	9	0	3	1	0
Severn, James	Scunthorpe United	G	0	0	0	0	0	0
Swan, Matthew	Newport County	G	0	0	0	0	0	0
Siegrist, Benjamin	Burton Albion	G	0	0	0	0	0	0
Sweeney, Antony	Hartlepool United	M	5	3	0	0	1	0
Sutton, Ritchie	Mansfield Town	D	8	4	0	0	0	0
Stevenson, Lee	Mansfield Town	M	35	15	5	0	6	0
Sullivan, John	Portsmouth	G	0	0	0	0	0	0
Taylor, Charlie	Fleetwood Town	F	18	3	0	2	1	0
Thewlis, Christian	Fleetwood Town	G	0	0	0	0	0	0
Tafazolli, Ryan	Mansfield Town	D	14	4	2	0	0	0
Thomas, Jack	Mansfield Town	M	0	0	0	0	0	0
Thompson, Adam	Southend United 	D	3	1	0	1	0	0
Timlin, Michael	Southend United 	D	27	13	2	3	7	0
Tyorio, Mozefh	Fleetwood Town	M	0	0	0	0	0	0
Tutte, Andrew	Rochdale	M	36	12	3	1	2	0
Taft, George	York City	D	1	1	0	0	0	0
Triggs, Liam	Portsmouth	D	0	0	0	0	0	0
Taylor, Ryan	Portsmouth	F	22	12	5	4	9	1
Thomson, Robbie	Rochdale	G	0	0	0	0	0	0
Tanser, Scott	Rochdale	D	0	0	0	0	0	0
Tillson, Jordan	Exeter City	D	0	0	0	0	0	0
Threlfall, Robbie	Morecambe	D	11	2	2	2	0	0
Turgott, Blair	Dagenham & Redbridge	M	4	1	0	0	1	0
Trotman, Neal	Plymouth Argyle	D	24	5	2	1	1	0
Tarduck, Bradley	Portsmouth	M	0	0	0	0	0	0
Tozer, Ben	Northampton Town	D	3	1	0	0	1	0
Toney, Ivan	Northampton Town	F	13	5	3	1	3	0
Thomas, Nathan	Plymouth Argyle	M	4	2	0	2	1	0
Taylor, Olly	Wycombe Wanderers	F	0	0	0	0	0	0
Thomas, Dominic	Bristol Rovers	D	0	0	0	0	0	0
Taylor, Jason	Cheltenham Town	M	16	6	2	1	2	0
Togwell, Sam	Wycombe Wanderers	M	2	0	0	0	0	0
Talbot, Drew	Chesterfield	F	3	2	0	0	0	0
Velez, Guillaume	Newport County	F	0	0	0	0	0	0
Vassel, Issac	Plymouth Argyle	F	0	0	0	0	0	0
Vidal, Javan	Rochdale	D	1	0	0	0	0	0
Vincenti, Peter	Rochdale	D	43	15	5	7	6	0
Vincent, Ashley	Cheltenham Town	F	17	6	2	0	3	0
Waterfall, Luke	Scunthorpe United	D	2	2	1	0	0	0
Webber, Danny	Accrington Stanley	F	19	12	3	3	12	1
Watson, Ryan	Accrington Stanley	M	0	0	0	0	0	0
Welsh, Andrew	Scunthorpe United	M	0	0	0	0	0	0
Williams, Marcus	Scunthorpe United	D	4	1	0	2	0	0
Watkins, Ollie	Exeter City	F	1	0	0	0	0	0
Wheeler, David	Exeter City	F	32	8	3	3	5	0
Watson, Luke	Rochdale	M	0	0	0	0	0	0
Williams, Ryan	Morecambe	D	30	11	3	2	4	0
Windass, Josh	Accrington Stanley	M	7	3	0	2	1	0
Wallace, Jed	Portsmouth	M	63	20	7	2	4	0
Winnall, Sam	Scunthorpe United	F	98	55	23	5	69	0
Woodards, Dan	Bristol Rovers	D	1	1	1	0	0	0
Walton, Simon	Hartlepool United	M	28	9	3	2	0	0
Warner, Ross	AFC Wimbledon	D	1	1	0	0	0	64
White, John	Southend United 	D	20	5	1	5	0	0
Whittaker, Tim	Chesterfield	D	0	0	0	0	0	0
Weir, Robbie	Burton Albion	M	44	10	2	3	1	0
Wright, Andrew	Morecambe	M	10	2	0	2	1	0
Waddle, Jack	Chesterfield	M	0	0	0	0	0	0
Wafula, Jonathan	Chesterfield	F	0	0	0	0	0	0
Wootton, Jamie	Scunthorpe United	F	0	0	0	0	0	0
Wood, Sam	Wycombe Wanderers	M	29	10	2	5	1	0
Winnard, Dean	Accrington Stanley	D	5	2	2	0	0	0
Whing, Andrew	Oxford United	D	9	4	0	0	0	0
Wright, Jake	Oxford United	D	2	0	0	0	0	0
Wright, Joe	Hartlepool United	D	0	0	0	0	0	0
Woodman, Craig	Exeter City	D	9	4	1	5	0	0
Williams, Ryan	Oxford United	M	36	13	7	3	9	0
Wilkinson, Luke	Dagenham & Redbridge	D	12	3	0	1	0	0
Walker, Brad	Hartlepool United	M	43	22	3	0	0	0
Williams, Harry	Cheltenham Town	M	0	0	0	0	0	0
Williams, Sam	Dagenham & Redbridge	F	0	0	0	0	0	0
Woodrow, Cauley	Southend United 	F	30	15	2	1	19	0
Williams, Robbie	Plymouth Argyle	M	0	0	0	0	0	0
Wotton, Paul	Plymouth Argyle	M	5	1	0	0	0	0
Woods, Tom	Morecambe	F	0	0	0	0	0	0
Worley, Harry	Newport County	D	20	9	4	0	1	0
William, William	AFC Wimbledon	M	0	0	0	0	0	0
Westlake, Darryl	Mansfield Town	D	11	4	0	1	1	0
Wroe, Nicky	Oxford United	M	15	4	2	0	0	0
Williams, Jason	Southend United 	F	1	1	0	0	0	0
Wyke, Charlie	AFC Wimbledon	F	18	7	2	1	5	0
Willmott, Robbie	Newport County	M	40	15	3	7	2	0
Walker, Regan	Bury	F	2	0	0	0	1	0
Webster, Adam	Portsmouth	G	2	2	2	0	0	0
Whatmaugh, Jack	Portsmouth	M	7	1	0	0	0	0
Widdowson, Joe	Northampton Town	D	1	0	0	0	0	0
Wilson, Lawrence	Accrington Stanley	D	6	3	0	2	0	0
Young, Lewis	Bury	F	1	0	0	0	0	0
Youga, Kelly	AFC Wimbledon	D	0	0	0	0	0	0
Young, Luke	Plymouth Argyle	D	35	13	4	2	0	0
Yakubu, Ismail	Newport County	D	10	6	3	0	0	0
Zebroski, Chris	Newport County	F	73	28	12	2	14	0
Beeley, Shaun	Bury	D	0	0	0	0	0	0
Roberts, Gareth	Bury	D	1	0	0	0	0	0
Harrad, Shaun	Bury	F	16	5	0	1	6	0
Lockwood, Adam	Bury	D	0	0	0	0	0	0
Rooney, John	Bury	M	2	0	0	0	0	0
Jackson, Marlon	Bury	F	3	3	1	0	0	0
Reindorf, Jessy	Bury	F	4	1	1	0	3	0
Chapman, Aaron	Chesterfield	G	0	0	0	0	0	0
Smith, Nathan	Chesterfield	D	0	0	0	0	0	0
Brown, Matty	Chesterfield	F	1	1	1	0	0	0
Taylor, Jason	Cheltenham Town	M	0	0	0	0	0	0
Brown, Junior	Fleetwood Town	M	19	7	1	1	3	0
Crowther, Ryan	Fleetwood Town	M	4	2	0	0	0	0
Scott, Joshua	Dagenham & Redbridge	F	10	3	1	0	1	0
Reed, Jake	Dagenham & Redbridge	D	0	0	0	0	0	0
Woodall, Brian	Dagenham & Redbridge	M	8	3	1	0	0	0
Dennis, Louis	Dagenham & Redbridge	F	0	0	0	0	0	0
Bittner, James	Newport County	G	0	0	0	0	0	0
Carver, Markus	Accrington Stanley	M	2	0	0	0	0	0
Butler, D	Portsmouth	D	0	0	0	0	0	0
Hall, Asa	Oxford United	D	28	10	3	3	0	0
Hartley, Peter	Hartlepool United	D	0	0	0	0	0	0
Baldwin, Jack	Hartlepool United	M	10	4	2	0	1	0
Howard, Steve	Hartlepool United	F	6	3	0	1	4	0
Iwelumo, Chris	Scunthorpe United	F	7	4	2	1	1	1
Clark, Jordan	Scunthorpe United	F	0	0	0	0	0	0
Phillips, Mark	Southend United 	D	10	6	2	0	4	0
Njie, Seedy	Southend United 	M	0	0	0	0	0	0
Reid, Craig	Southend United 	F	1	1	0	0	2	0
Blackman, Andre	Plymouth Argyle	D	2	0	0	0	0	0
Rice, Martin	Torquay United	G	0	0	0	0	0	26
Tonge, Dale	Torquay United	D	5	1	0	2	0	1
Nicholson, Kevin	Torquay United	D	17	5	0	3	0	0
Downes, Aaron	Torquay United	D	19	8	4	0	2	0
Pearce, Krystian	Torquay United	D	21	10	4	0	1	0
Mansell, Lee	Torquay United	M	27	11	2	1	1	0
Harding, Ben	Torquay United	M	13	5	0	1	0	0
Bodin, Billy	Torquay United	M	57	14	1	3	6	0
Cameron, Courtney	Torquay United	M	15	10	1	2	1	0
Ball, Callum	Torquay United	F	15	4	2	1	5	0
Benyon, Elliot	Torquay United	F	25	11	3	2	30	0
Thompson, Conor	Newport County	G	0	0	0	0	0	0
Cruise, Tom	Torquay United	D	3	1	0	0	4	0
Lathrope, Damon	Torquay United	M	10	2	0	0	0	0
Thompson, Niall	Torquay United	M	1	0	0	0	0	0
Sullivan, Daniel	Torquay United	M	1	0	0	0	0	0
Hawley, Karl	Torquay United	F	37	13	3	3	16	1
Chapell, Jordan	Torquay United	F	32	16	5	3	4	0
Sheringham, Charlie	AFC Wimbledon	F	12	4	1	0	7	1
Hause, Kortney	Wycombe Wanderers	D	5	1	1	1	0	0
Smith, Chris	York City	D	6	2	0	0	0	0
Clay, Craig	York City	M	6	2	0	0	0	0
Chambers, Ashley	Dagenham & Redbridge	M	14	5	0	0	2	0
Cresswell, Richard	York City	F	4	1	0	0	2	0
Kettings, Chris	York City	G	0	0	0	0	0	0
Fyfield, Jamal	York City	D	0	0	0	0	0	0
Amankwaah, Kevin	Northampton Town	D	4	0	0	0	0	0
Heath, Matt	Northampton Town	D	2	1	0	0	0	0
Emerton, Danny	Northampton Town	M	5	3	0	2	2	0
O'Donovan, Roy	Northampton Town	F	19	6	1	1	19	1
Demontagnac, Ishmel	Northampton Town	M	7	1	0	0	0	0
Hooper, JJ	Northampton Town	F	0	0	0	0	0	0
Jones, Billy	Newport County	D	3	1	1	0	0	0
Boagey, Zak	Hartlepool United	M	0	0	0	0	0	0
Cowan, Don	Southend United 	F	0	0	0	0	0	0
Anderson, Myles	Exeter City	D	0	0	0	0	0	0
Yeoman, Ashley	Torquay United	F	12	6	3	0	1	0
Blyth, Jacob	Northampton Town	F	22	6	3	0	7	0
Washington, Conor	Newport County	F	29	11	4	4	15	0
Sinnott, Jordan	Bury	M	19	8	1	2	1	0
Harrison, Ashley	Portsmouth	F	1	0	0	1	1	0
Smith, Michael	AFC Wimbledon	F	63	29	9	0	25	0
Weston, Rhys	AFC Wimbledon	D	0	0	0	0	0	0
Morch, Mac	Burton Albion	G	0	0	0	0	0	0
Kenneth, Garry	Bristol Rovers	D	0	0	0	0	0	0
Mackenzie, Kyrtis	Torquay United	D	0	0	0	0	0	0
Spencer, James	Scunthorpe United	F	12	2	1	1	7	0
Morch, Mats	Burton Albion	G	0	0	0	0	0	0
Edjenguele, William	Bury	D	4	2	2	0	1	0
Dolan, Matthew	Hartlepool United	M	25	11	2	1	1	0
Wilson, Ben	Accrington Stanley	G	0	0	0	0	0	0
Mahoney, Connor	Accrington Stanley	M	4	1	0	0	1	0
Harriott, Matty	Northampton Town	M	1	1	0	0	0	0
Craig, Nathan	Torquay United	D	9	2	0	0	0	0
Fletcher, Tommy	Wycombe Wanderers	D	0	0	0	0	0	0
Reckford, Jamie	Plymouth Argyle	D	3	2	0	0	2	0
Byrne, Cliff	Scunthorpe United	D	0	0	0	0	1	0
Cooper, Shaun	Torquay United	M	4	1	0	0	0	0
Wilson, James	Cheltenham Town	D	0	0	0	0	0	0
Jalal, Shwan	Oxford United	G	0	0	0	0	0	0
Bond, Andrew	Bristol Rovers	M	8	4	0	1	1	0
Lavercombe, Dan	Torquay United	G	0	0	0	0	0	0
Whitehouse, Elliott	York City	M	14	5	0	1	1	0
Naylor, Lee	Accrington Stanley	D	6	4	0	3	0	0
Dicker, Gary	Rochdale	M	6	2	1	0	0	0
Murtagh, Kieran	Mansfield Town	M	0	0	0	0	0	0
Reid, Paul	Northampton Town	D	3	1	0	0	1	0
Caton, James	Accrington Stanley	M	0	0	0	0	0	0
Dallas, Stuart	Northampton Town	M	16	5	3	0	0	0
Navas, Marcos	Bury	M	2	0	0	0	0	0
Porter, Chris	Chesterfield	F	3	0	0	0	1	0
Mahon, Gavin	Portsmouth	M	0	0	0	0	0	0
O'Connor, Anthony	Torquay United	D	11	4	0	2	2	0
Kiernan, Robert	Southend United 	D	2	0	0	0	0	0
Poku, Godfrey	Mansfield Town	F	1	0	0	0	0	0
Goddard, Jordan	Bristol Rovers	M	0	0	0	0	0	0
Poke, Michael	Torquay United	G	0	0	0	0	0	17
McCourt, Jak	Torquay United	M	6	0	0	1	0	0
Hutchings, Jake	Torquay United	F	0	0	0	0	0	0
Packwood, Will	Bristol Rovers	D	1	0	0	0	0	0
Henshall, Alex	Bristol Rovers	M	3	2	1	0	0	0
Blake, Jack	Mansfield Town	M	3	0	0	0	0	0
Mozika, Damien	Torquay United	M	10	2	0	0	0	0
McCallum, Paul	Torquay United	F	9	5	3	0	6	0
Pilkington, George	Mansfield Town	D	1	0	0	0	0	0
Ferdinand, Kane	Northampton Town	M	2	0	0	0	1	0
Noble-Lazarus, Reuben	Scunthorpe United	F	1	0	0	0	0	0
Barker, George	Newport County	F	2	0	0	0	0	0
Tyson, Nathan	Fleetwood Town	F	9	1	0	0	3	0
Lavery, Caolan	Plymouth Argyle	F	11	5	2	0	9	0
McLeod, Izale	Northampton Town	F	5	2	1	0	4	1
Stockley, Jayden	Torquay United	F	20	14	1	1	7	0
Goldson, Connor	Cheltenham Town	D	1	0	0	0	0	0
Ajala, Toby	Cheltenham Town	M	0	0	0	0	0	0
McCarey, Aaron	York City	G	0	0	0	0	0	12
Eve, Dale	Fleetwood Town	G	0	0	0	0	0	0
Boyce, Andrew	Scunthorpe United	D	0	0	0	0	0	0
Chaney, Sam	Torquay United	D	0	0	0	0	0	0
Veseli, Frederic	Bury	D	3	1	0	1	2	0
German, Antonio	Northampton Town	F	6	0	0	0	2	0
Labadie, Joss	Torquay United	M	14	5	1	1	1	0
Goodwin, Shamir	Torquay United	F	17	6	1	0	0	0
Fogdon, Wesley	Portsmouth	M	0	0	0	0	0	0
Williams, Luke	Hartlepool United	M	19	10	2	1	1	0
Akpro, Jean-Louis	Bury	F	11	5	0	0	9	0
O'Brien, Aiden	Torquay United	F	1	1	0	0	0	0
Wilkinson, Conor	Torquay United	F	7	2	0	0	1	0
Carroll, Jake	Bury	D	3	1	1	0	1	0
Diagouraga, Toumani	Portsmouth	M	2	2	0	0	0	0
Stevens, Danny	Torquay United	M	0	0	0	1	0	0
McCabe, Rhys	Portsmouth	M	0	0	0	2	0	0
Rose, Danny	Bury	F	10	6	3	0	1	0
Loza, Jamar	Southend United 	F	9	5	1	0	7	0
Bennett, Mason	Chesterfield	F	2	2	0	0	0	0
Cargill, Baily	Torquay United	D	1	1	0	1	0	0
Angol, Lee	Wycombe Wanderers	M	0	0	0	0	0	0
Hurst, James	Northampton Town	D	1	1	0	0	0	0
